smiles	kegg_id	formal_charge
O=C([O-])CCC(=O)[O-]	['C00042']	-2
O=P([O-])([O-])Oc1ccccc1	['C02734']	-2
O=C([O-])CSCC(=O)[O-]	['C14872']	-2
C/C=C\C(CCC)C(=O)[O-]	['C16654']	-1
NCC[C@@H](O)[C@@H](C(=O)[O-])N1CCC1=O	['C06658', 'C06658']	-1
N=C(N)NCCCC(=O)C(=O)[O-]	['C03771']	-1
O=C(O)CS(=O)(=O)[O-]	['C14179']	-1
C[C@@H](N)C(=O)N[C@H](C)C(=O)[O-]	['C00993']	-1
N[C@@H](CCC[C@H](N)C(=O)[O-])C(=O)[O-]	['C00666']	-2
N[C@H](CCC[C@H](N)C(=O)[O-])C(=O)[O-]	['C00680']	-2
O=C([O-])CC(=O)[O-]	['C00383']	-2
CC(=O)[N-]c1ccc(O)cc1	['C06804']	-1
NCCCC[C@H](NC(=O)CCN)C(=O)[O-]	['C05341']	-1
CC(=O)[N-]CCCCC(=O)O	['C03087']	-1
O=C([O-])C#CC(=O)O	['C03248']	-1
NCCCCC(=O)[O-]	['C00431']	-1
N[C@H](CCC[C@H](N)C(=O)[O-])C(=O)O	['C00680']	-1
N[C@@H](CCC[C@H](N)C(=O)O)C(=O)[O-]	['C00666']	-1
N[C@H](CCC[C@H](N)C(=O)O)C(=O)[O-]	['C00680']	-1
O=C([O-])CCCCC(=O)O	['C06104']	-1
CC(C)CCCCCCC/C=C\C(=O)[O-]	['C18206']	-1
NCCCC[C@H]([N-]C(=O)CCN)C(=O)O	['C05341']	-1
O=C[N-]C(=O)/C=C\C(=O)[O-]	['C18232']	-2
CC(=O)[N-]N	['C07447']	-1
O=C([O-])[C@@H]1CC[C@H]2CC(=O)N21	['C17367']	-1
O=C([O-])CP(=O)([O-])O	['C05682', 'C05682']	-2
C[N-]C(N)=O	['C16363']	-1
CC(C)(O)[C@@H](O)C(=O)[O-]	['C04272', 'C04272', 'C04272']	-1
N=C(N)NCCCC([NH-])=O	['C03078']	-1
[NH-]C(=O)NC(=O)[O-]	['C01010']	-2
C[C@@H](N[C@@H](CCCCN)C(=O)[O-])C(=O)O	['C04020']	-1
O=C([O-])CCCCCC(=O)[O-]	['C02656']	-2
O=C1CC(=O)[N-]C(=O)[N-]1	['C00813']	-2
[NH-]C(=O)CCCCN	['C00990']	-1
C[C@@H]1O[C@@H]1P(=O)([O-])[O-]	['C06454']	-2
O=C(O)c1ccc(S(=O)(=O)[O-])cc1	['C02236']	-1
CC(C(=O)[O-])C(=O)[O-]	['C02170']	-2
O=C([O-])[C@H](O)CO	['C00258', 'C00258', 'C00258']	-1
CC(=O)[C@@H](O)[C@H](O)C[C@H](N)C(=O)[O-]	['C16850', 'C16850', 'C16850']	-1
NC(=O)OP(=O)([O-])O	['C00169', 'C00169']	-1
O=C([O-])[C@@H](O)CS	['C05823', 'C05823', 'C05823']	-1
CSCCCCCCCC(=O)C(=O)[O-]	['C17228']	-1
[NH-]C(=O)[C@H](O)c1ccccc1	['C07301', 'C07301']	-1
CC[C@@](C)(O)[C@@H](O)C(=O)[O-]	['C06007', 'C06007', 'C06007']	-1
CCCC(CCC(=O)[O-])C(=O)O	['C16658']	-1
O=C([O-])Cc1c[n-]cn1	['C02835']	-2
C[C@@H]1O[C@@H]1P(=O)([O-])O	['C06454']	-1
CCCC(CC(=O)[O-])C(=O)O	['C16657']	-1
C=C(CC(=O)[O-])C(=O)O	['C00490']	-1
Cc1ccc(C(=O)[O-])cc1	['C01454']	-1
NCCCC(=O)C(=O)[O-]	['C01110']	-1
O=C([O-])c1ccc(S(=O)(=O)[O-])cc1	['C02236']	-2
C[C@@H](N[C@@H](CCCCN)C(=O)[O-])C(=O)[O-]	['C04020']	-2
CN(CC(=O)[O-])C(=N)N	['C00300']	-1
CN(C)Cc1c[n-]c2ccccc12	['C08304']	-1
[NH-]C(=O)C(N)CCC(=O)[O-]	['C16673']	-2
CSCCCCCCCCC(=O)C(=O)[O-]	['C17232']	-1
[NH-]C(=O)CC[C@@H](N)C(=O)[O-]	['C00819']	-2
[NH-]C(=O)CC[C@H](N)C(=O)[O-]	['C00064']	-2
O=C1Cc2ccccc2[N-]1	['C12312']	-1
O=C([O-])CSCC(=O)O	['C14872']	-1
NCCCCNC(=O)CC[C@H](N)C(=O)[O-]	['C15699']	-1
CC(C)(CO)[C@@H](O)C(=O)[O-]	['C00522', 'C00522', 'C00522']	-1
NCC(F)C(=O)[O-]	['C16632']	-1
C=C(C[C@H](N)C(=O)[O-])C([NH-])=O	['C01109']	-2
CCCC(CC(=O)O)C(=O)[O-]	['C16657']	-1
[NH-]C(=O)C[C@H](N)C(=O)[O-]	['C00152']	-2
O=C([O-])C#CC(=O)[O-]	['C03248']	-2
CC[C@H](C)[C@H](N)C(=O)[O-]	['C00407']	-1
CC(N)C(=O)CCCCCC(=O)[O-]	['C01092']	-1
O=C([O-])CCCCCC(=O)O	['C02656']	-1
CC(=O)C(O)COP(=O)([O-])[O-]	['C15556', 'C15556']	-2
CC1C(=O)[N-]C(=O)[N-]C1=O	['C05281']	-2
NC(CO)C(=O)[O-]	['C00716', 'C00716']	-1
N[C@H](CO)C(=O)[O-]	['C00740', 'C00740']	-1
N[C@@H](CO)C(=O)[O-]	['C00065', 'C00065']	-1
C=C(C(=O)O)C(C)C(=O)[O-]	['C02295']	-1
O=P([O-])(O)OP(=O)(O)O	['C00013']	-1
N=CNCC(=O)[O-]	['C02718']	-1
CC/C=C(\CCC)C(=O)[O-]	['C16653']	-1
O=C1CCNC(=O)[N-]1	['C00429']	-1
C[S-]	['C00409']	-1
CNCCc1c[n-]c2ccccc12	['C06213']	-1
[NH-]C(=O)N[C@H](N)C(=O)[O-]	['C02091']	-2
C[C@@H](N[C@@H](CCCCN)C(=O)O)C(=O)[O-]	['C04020']	-1
NC1(C(=O)[O-])CC1	['C01234']	-1
O=C([O-])c1ccccc1	['C00180']	-1
NCCCC(=O)[O-]	['C00334']	-1
Nc1ccccc1S(=O)(=O)[O-]	['C06333']	-1
C[C@H](C[NH3+])OP(=O)([O-])[O-]	['C04122']	-1
[NH3+]CC(O)P(=O)([O-])[O-]	['C05678']	-1
CC(C[C@H](N)C(=O)[O-])C(=O)O	['C06234']	-1
C[C@H](C(=O)O)[C@H](N)C(=O)[O-]	['C03618']	-1
O=C1CCC(C(=O)[O-])CC1	['C03767']	-1
O=C1[N-]C(=O)C(F)CN1	['C16630']	-1
CC(=O)N(O)CCCC[C@H](N)C(=O)[O-]	['C03955']	-1
N[C@@H](CSCC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]	['C02291']	-1
O=C(OP(=O)([O-])[O-])c1ccccc1	['C06206']	-2
NC(=O)NCC(F)C(=O)[O-]	['C16631', 'C16631']	-1
N[C@@H](CCSC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]	['C02291']	-1
N[C@@H](CCSC[C@H](N)C(=O)[O-])C(=O)[O-]	['C02291']	-2
N[C@@H](CCC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]	['C00666']	-1
N[C@H](CCC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]	['C00680']	-1
N[C@@H](CCC[C@@H]([NH3+])C(=O)[O-])C(=O)[O-]	['C00680']	-1
N[C@@H](CC[PH](=O)O)C(=O)[O-]	['C17962']	-1
CCCC(CCC(=O)O)C(=O)[O-]	['C16658']	-1
N[C@@H](CSCC[C@H](N)C(=O)O)C(=O)[O-]	['C02291']	-1
NC(CP(=O)([O-])O)C(=O)[O-]	['C05672', 'C05672']	-2
O=C([O-])C1CCC2CCCCC2C1	['C14113']	-1
NC(=O)OP(=O)([O-])[O-]	['C00169', 'C00169']	-2
C[C@@](O)(CCO)CC(=O)[O-]	['C00418', 'C00418', 'C00418']	-1
CC(=O)NCCCC(=O)[O-]	['C02946']	-1
CC(=O)N([O-])CCCC[C@H](N)C(=O)[O-]	['C03955']	-2
CSCC[C@H]([N-]C=O)C(=O)[O-]	['C03145']	-2
O=C([O-])[C@@H](O)C[S-]	['C05823', 'C05823', 'C05823']	-2
NC[C@H](O)CC(=O)C(=O)[O-]	['C05941', 'C05941']	-1
CC(=O)[N-][C@@H](CCCN)C(=O)[O-]	['C00437']	-2
Cc1ccccc1C(=O)[O-]	['C07215']	-1
N=C(N)NCC(=O)[O-]	['C00581']	-1
C[C@H](CN)C(=O)[O-]	['C01205']	-1
C[C@@H](CN)C(=O)[O-]	['C03284']	-1
