kegg_id	smiles	formal_charge
C00008	[NH3+]c1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O	-2
C00008	[NH3+]c1[nH+]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)([O-])O)[C@@H](O)[C@H]1O	1
C00008	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)([O-])O)[C@@H](O)[C@H]1O	-1
C00008	[NH3+]c1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]1O	-1
C00008	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O	-2
C00008	[NH3+]c1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O	1
C00008	Nc1[nH+]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O	-1
C00008	Nc1[nH+]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O	-2
C00008	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]1O	-2
C00008	Nc1[nH+]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O	1
C00008	[NH3+]c1[nH+]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O	-1
C00008	[NH3+]c1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O	-1
C00008	Nc1[nH+]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]1O	-1
C00009	O=P([O-])([O-])O	-2
C00009	O=P([O-])(O)O	-1
C00010	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)[N-]CCC(=O)[N-]CCS	-2
C00013	O=P([O-])(O)OP(=O)(O)O	-1
C00013	O=P([O-])([O-])OP(=O)(O)O	-2
C00013	O=P([O-])(O)OP(=O)([O-])O	-2
C00015	O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1	-2
C00015	O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[n-]1	-1
C00015	O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1	-1
