smiles	cation	anion	name	cas	url
Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	Cn1cc[n+](C)c1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1,3-Dimethylimidazolium bis(trifluoromethylsulfonyl)imide	174899-81-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0198-hp
COP(=O)([O-])OC.Cn1cc[n+](C)c1	Cn1cc[n+](C)c1	COP(=O)([O-])OC	1,3-Dimethylimidazolium dimethyl phosphate	654058-04-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0053-hp
Cn1cc[n+](C)c1.[I-]	Cn1cc[n+](C)c1	[I-]	1,3-Dimethylimidazolium iodide	4333-62-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/ready-use-electrolytes/iolilyte-pve-5000
COS(=O)(=O)[O-].Cn1cc[n+](C)c1	Cn1cc[n+](C)c1	COS(=O)(=O)[O-]	1,3-Dimethylimidazolium methyl sulfate	97345-90-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0243-hp
CP(=O)([O-])[O-].Cn1cc[n+](C)c1.Cn1cc[n+](C)c1	Cn1cc[n+](C)c1	CP(=O)([O-])[O-]	1,3-Dimethylimidazolium methylphosphonate	1048377-03-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0358-hp
C[n+]1ccn(CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	C[n+]1ccn(CCO)c1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-(2-Hydroxyethyl)-3-methylimidazolium bis(trifluoromethylsulfonyl)imide	174899-86-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0194-hp
C[n+]1ccn(CCO)c1.[Cl-]	C[n+]1ccn(CCO)c1	[Cl-]	1-(2-Hydroxyethyl)-3-methylimidazolium chloride	61755-34-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0039-hp
C[n+]1ccn(CCO)c1.F[B-](F)(F)F	C[n+]1ccn(CCO)c1	F[B-](F)(F)F	1-(2-Hydroxyethyl)-3-methylimidazolium tetrafluoroborate	374564-83-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0038-hp
COCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F	COCC[N+]1(C)CCCC1	O=S(=O)(F)[N-]S(=O)(=O)F	1-(2-Methoxyethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)imide	1235234-47-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0360-hp
COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	COCC[N+]1(C)CCCC1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-(2-Methoxyethyl)-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide	757240-24-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0359-hp
