entry	smiles
C00198	O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
C00199	O=C(CO)[C@H](O)[C@H](O)COP(=O)(O)O
C00203	CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2OC(n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O
C00204	O=C(O)C(=O)C[C@H](O)[C@H](O)CO
C00206	Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O1
C00207	CC(C)=O
C00208	OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
C00209	O=C(O)C(=O)O
C00212	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
C00213	CNCC(=O)O
C00214	Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
C00216	OC1OC[C@@H](O)[C@@H](O)[C@@H]1O
C00217	N[C@H](CCC(=O)O)C(=O)O
C00218	CN
C00219	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
C00221	OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
C00222	O=CCC(=O)O
C00223	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccc(O)cc1
C00224	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](O)[C@H]1O
C00227	CC(=O)OP(=O)(O)O
C00230	O=C(O)c1ccc(O)c(O)c1
C00231	O=C(CO)[C@@H](O)[C@H](O)COP(=O)(O)O
C00232	O=CCCC(=O)O
C00233	CC(C)CC(=O)C(=O)O
C00234	Nc1nc2c(c(=O)[nH]1)N[C@@H](CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
C00235	CC(C)=CCOP(=O)(O)OP(=O)(O)O
C00236	O=C(OP(=O)(O)O)[C@H](O)COP(=O)(O)O
C00237	[C-]#[O+]
C00238	[K+]
C00239	Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)n1
C00242	Nc1nc2[nH]cnc2c(=O)[nH]1
C00243	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O
C00244	O=[N+]([O-])O
C00245	NCCS(=O)(=O)O
C00246	CCCC(=O)O
C00247	OCC1(O)OC[C@H](O)[C@@H](O)[C@@H]1O
C00249	CCCCCCCCCCCCCCCC(=O)O
C00250	Cc1ncc(CO)c(C=O)c1O
C00251	C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O
C00252	OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00253	O=C(O)c1cccnc1
C00254	O=C(O)C(=O)C[C@]1(C(=O)O)C=C[C@@H](O)C=C1
C00255	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
C00256	C[C@@H](O)C(=O)O
