smiles_cation	kegg_id_cation	formal_charge_cation	smiles_anion	kegg_id_anion	formal_charge_anion	smiles_il	distance	commercial_il
C[N+]1=CCCC1	['C06178']	1	CCCC(CC(C)[O-])C(=O)[O-]	['C16649']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.CCCC(CC(C)[O-])C(=O)[O-]	11.409000238598137	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
Cn1cnc(CC[NH3+])c1	['C05127']	1	CCCCCCCC(=O)[O-]	['C06423']	-1	Cn1cnc(CC[NH3+])c1.CCCCCCCC(=O)[O-]	11.659593243887223	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[NH2+]C	['C00543']	1	CCCCCCCC(=O)[O-]	['C06423']	-1	C[NH2+]C.CCCCCCCC(=O)[O-]	11.805206322078421	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=C([O-])CCCCCC[S-]	['C16593']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.O=C([O-])CCCCCC[S-]	11.861376387094037	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CSCCCCCCCC(=O)C(=O)[O-]	['C17228']	-1	C[N+]1=CCCC1.CSCCCCCCCC(=O)C(=O)[O-]	11.8969247937877	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
CC[N+](CC)(CC)CC	['C07512']	1	CCCCCCCC(=O)[O-]	['C06423']	-1	CC[N+](CC)(CC)CC.CCCCCCCC(=O)[O-]	11.953159696222604	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=C([O-])CCCCCCS	['C16593', 'C16593']	-1	C[N+]1=CCCC1.O=C([O-])CCCCCCS	12.286992286268578	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CC[C@@](C)([O-])C(=O)C(=O)[O-]	['C14463']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.CC[C@@](C)([O-])C(=O)C(=O)[O-]	12.299631834621193	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CSCCCCCCCCC(=O)C(=O)[O-]	['C17232']	-1	C[N+]1=CCCC1.CSCCCCCCCCC(=O)C(=O)[O-]	12.496099462343954	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CSCCCCCCC(=O)C(=O)[O-]	['C17224']	-1	C[N+]1=CCCC1.CSCCCCCCC(=O)C(=O)[O-]	12.50695335709603	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=C([O-])CCCCC[O-]	['C06103']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.O=C([O-])CCCCC[O-]	12.578209581498744	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
