name	cas	url
1-Butyl-1-methylpyrrolidinium triflate, 99%	367522-96-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0113-hp
1-Butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)imide, >99%	350493-08-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0104-hp
1-Butyl-2,3-dimethylimidazolium bromide, 99%	475575-45-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0055-hp
1-Butyl-2,3-dimethylimidazolium chloride, 99%	98892-75-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0056-hp
1-Butyl-2,3-dimethylimidazolium hexafluorophosphate, 99%	227617-70-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0057-hp
1-Butyl-2,3-dimethylimidazolium iodide, >98%	108203-70-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0137-hp
1-Butyl-2,3-dimethylimidazolium tetrafluoroborate, 99%	402846-78-0	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0058-hp
1-Butyl-2,3-dimethylimidazolium triflate, 99%	765910-73-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0059-hp
1-Butyl-2-methylimidazole,  >98%	13435-22-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/1-alkyl-2-methylimidazoles/ki-0010-hp
1-Butyl-2-methylpyridinium bis(trifluoromethylsulfonyl)imide, 99%	384347-09-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0228-hp
1-Butyl-2-methylpyridinium bromide, 99%	26576-84-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0128-hp
1-Butyl-2-methylpyridinium chloride, 99%	112400-85-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0129-hp
1-Butyl-2-methylpyridinium hexafluorophosphate, 99%	1268986-44-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0127-hp
1-Butyl-2-methylpyridinium iodide, >98%	13311-31-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0183-hp
1-Butyl-2-methylpyridinium tetrafluoroborate, 99%	286453-46-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0111-hp
1-Butyl-2-methylpyridinium triflate, 99%	1770850-20-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0178-hp
1-Butyl-3-ethylimidazolium 1,1,2,2-tetrafluoroethanesulfonate, >98%	3032953-07-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0255-sg
1-Butyl-3-ethylimidazolium bis(trifluoromethylsulfonyl)imide, 98%	174899-89-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0289-hp
1-Butyl-3-ethylimidazolium bromide, 98%	174899-64-0	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0286-hp
1-Butyl-3-ethylimidazolium hexafluorophosphate, 98%	256647-89-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0288-hp
1-Butyl-3-ethylimidazolium tetrafluoroborate, 98%	581101-91-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0287-hp
1-Butyl-3-methylimidazolium  1,1,2,2-tetrafluoroethanesulfonate, 99%	880084-62-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0234-hp
1-Butyl-3-methylimidazolium acetate, >95%	284049-75-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0315-tg
1-Butyl-3-methylimidazolium acetate, >98%	284049-75-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0315-hp
1-Butyl-3-methylimidazolium bis(fluorosulfonyl)imide, >98%	1235234-58-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0345-hp
1-Butyl-3-methylimidazolium bis(pentafluoroethylsulfonyl)imide, 98%	254731-29-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0321-hp
1-Butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide, 99.5%	174899-83-3	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0029
1-Butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide, 99.5% - OP	174899-83-3	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0029-op
1-Butyl-3-methylimidazolium bromide, 99%	85100-77-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0037-hp
1-Butyl-3-methylimidazolium chloride and Aluminum chloride (1:1.5)	80432-09-3	https://iolitec.de/index.php/products/ionic_liquids/catalogue/ready-use-electrolytes/ep-0002-hp
1-Butyl-3-methylimidazolium chloride and Aluminum chloride (1:2)	80432-09-3	https://iolitec.de/index.php/products/ionic_liquids/catalogue/ready-use-electrolytes/ep-0008-hp
1-Butyl-3-methylimidazolium chloride, 99%	79917-90-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0014-hp
1-Butyl-3-methylimidazolium dibutylphosphate, 97%	663199-28-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0324-hp
1-Butyl-3-methylimidazolium dicyanamide, >98%	448245-52-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0010-hp
1-Butyl-3-methylimidazolium dimethyl phosphate, >98%	891772-94-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0257-hp
1-Butyl-3-methylimidazolium hexafluorophosphate, 99%	174501-64-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0011-hp
1-Butyl-3-methylimidazolium hexafluorophosphate, 99.5%	174501-64-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0011
1-Butyl-3-methylimidazolium hydrogensulfate, 98%	262297-13-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0060-hp
1-Butyl-3-methylimidazolium iodide, >98%	65039-05-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0051-hp
1-Butyl-3-methylimidazolium iodide, >98%	65039-05-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/ready-use-electrolytes/iolilyte-pve-3000
1-Butyl-3-methylimidazolium methanesulfonate, 98%	342789-81-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0061-hp
1-Butyl-3-methylimidazolium methyl sulfate, 98%	401788-98-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0195-hp
1-Butyl-3-methylimidazolium methylcarbonate, >97%, 30% in MeOH	916850-37-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/0028-sg
1-Butyl-3-methylimidazolium nitrate, >98%	179075-88-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0201-hp
1-Butyl-3-methylimidazolium tetrachloroferrate(III), >97%	359845-21-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0047-sg
1-Butyl-3-methylimidazolium tetrafluoroborate, 99%	174501-65-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0012-hp
1-Butyl-3-methylimidazolium thiocyanate, >98%	344790-87-0	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0063-hp
1-Butyl-3-methylimidazolium tosylate, 99%	410522-18-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0028-hp
1-Butyl-3-methylimidazolium tricyanomethanide, 98%	878027-73-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0317-hp
1-Butyl-3-methylimidazolium triflate, 99%	174899-66-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0013-hp
1-Butyl-3-methylimidazolium trifluoroacetate, >97%	174899-94-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0260-sg
1-Butyl-3-methylpyridinium bis(trifluoromethylsulfonyl)imide, 99%	344790-86-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0216-hp
1-Butyl-3-methylpyridinium bromide, 99%	26576-85-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/iolilyte-fbe-1000
1-Butyl-3-methylpyridinium bromide, 99%	26576-85-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0078-hp
1-Butyl-3-methylpyridinium chloride, 99%	125652-55-3	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0079-hp
1-Butyl-3-methylpyridinium hexafluorophosphate, 99%	845835-03-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0080-hp
1-Butyl-3-methylpyridinium iodide, >98%	258273-67-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0184-hp
1-Butyl-3-methylpyridinium tetrafluoroborate, 99%	597581-48-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0081-hp
1-Butyl-3-methylpyridinium triflate,  99%	857841-32-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0179-hp
1-Butyl-3-vinylimidazolium bis(trifluoromethylsulfonyl)imide, 98%	758716-72-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0293-hp
1-Butyl-3-vinylimidazolium bromide, 98%	34311-90-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0292-hp
1-Butyl-4-methylpyridinium bis(trifluoromethylsulfonyl)imide, 99%	475681-62-0	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0219-hp
1-Butyl-4-methylpyridinium bromide, 99%	65350-59-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0082-hp
1-Butyl-4-methylpyridinium chloride, 99%	112400-86-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0083-hp
1-Butyl-4-methylpyridinium hexafluorophosphate, 99%	401788-99-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0084-hp
1-Butyl-4-methylpyridinium iodide, >98%	32353-64-3	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0185-hp
1-Butyl-4-methylpyridinium tetrafluoroborate, 99%	34952-33-0	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0085-hp
