smiles	kegg_id
CCCN(C=[NH+]c1cccc(=O)[nH]1)CCC	['C15477']
CC[N+](C)(C)Cc1ccccc1Br	['C06855']
CC[N+](CC)(CC)CC	['C07512']
CC[NH+](CC)CC(=O)Nc1c(C)ccc(O)c1C	['C16560']
CC[NH+](CC)CC(=O)Nc1c(C)cccc1C	['C07073']
CC[NH2+]CC(=O)Nc1c(C)cccc1C	['C16561']
CN(C)CCCSC(N)=[NH2+]	['C17930']
CN(C)CC[NH+](Cc1ccccc1)c1ccccc1	['C14410']
CN(CCCC(=O)c1ccc[n+](O)c1)N=O	['C19602']
CN(CCCC(=O)c1ccc[nH+]c1)N=O	['C16453']
CN(CCCC(O)c1ccc[n+](O)c1)N=O	['C19603']
CN(CCCC(O)c1ccc[nH+]c1)N=O	['C19574']
CN1C(=O)N(C)C2=NC(=O)[NH+](C)C2(O)C1=O	['C21144']
CN1C(=O)N(C)C2=[NH+]C(=O)N(C)C2(O)C1=O	['C21144']
CN1C(=O)N(C)C2=[NH+]C(=O)[NH+](C)C2(O)C1=O	['C21144']
CN1C(=O)N(C)C2=[NH+]C(=O)[NH+](C)C2([O-])C1=O	['C21144']
CN1C(=O)[NH+](C)C(=O)C2(O)C1=NC(=O)N2C	['C21144']
CN1C(=O)[NH+](C)C(=O)C2(O)C1=NC(=O)[NH+]2C	['C21144']
CN1C(=O)[NH+](C)C(=O)C2(O)C1=[NH+]C(=O)N2C	['C21144']
CN1C(=O)[NH+](C)C(=O)C2([O-])C1=NC(=O)[NH+]2C	['C21144']
CN1C(=O)[NH+](C)C(=O)C2([O-])C1=[NH+]C(=O)N2C	['C21144']
CN1C(=O)[NH+](C)C(=O)C2([O-])C1=[NH+]C(=O)[NH+]2C	['C21144']
CN1CC(=O)NC1=[NH2+]	['C00791']
CN1CCC=C1c1ccc(O)[nH+]c1	['C21075']
CN1CCC=C1c1ccc(O)[nH+]c1O	['C16151']
CN1CCC=C1c1ccc[nH+]c1	['C21154']
CN1CCCC1CC(=O)CC1CCC[NH+]1C	['C06521']
CN1CCCC1c1ccc(O)[nH+]c1	['C01056', 'C03043']
CN1CCCC1c1ccc[nH+]c1	['C00745', 'C16386']
CNC(=O)N(C)C1NC(=O)[NH+](C)C1=O	['C16362']
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1[NH+]2C	['C06535']
CNC(=O)Oc1ccc2c(c1)C1(C)CC[NH+](C)C1N2C	['C06535']
CNC(=O)Oc1ccc2c(c1)C1(C)CC[NH+](C)C1[NH+]2C	['C06535']
CNC(=O)[NH+](C)C1NC(=O)N(C)C1=O	['C16362']
CNC(=O)[NH+](C)C1NC(=O)[NH+](C)C1=O	['C16362']
CNC(=O)[NH+](C)C1[N-]C(=O)[NH+](C)C1=O	['C16362']
CNCCCC(=O)c1ccc(O)[nH+]c1	['C01297']
CNCCCC(=O)c1ccc[nH+]c1	['C20361']
CNCCCC[NH3+]	['C02723']
COC(=O)C1C(O)CC2CCC1[NH+]2C	['C12448']
COC(=O)c1ccc(O)c([NH3+])c1	['C14171']
COC(=O)c1ccc([NH3+])cc1O	['C14170']
COC1=CC=C(C(=O)O)C(=O)C1=[N+]=N	['C22416']
COC1=CC=C2C3Cc4ccc(O)c5c4C2(CC[NH+]3C)C1O5	['C06175']
COc1c2c([nH+]c3ccccc13)OC(C(C)(C)O)C2	['C16721']
COc1c2ccccc2[nH+]c2occc12	['C10660']
COc1cc(CC[NH3+])cc(OC)c1OC	['C06546']
COc1cc(CC[NH3+])ccc1O	['C05587']
COc1cc(C[NH3+])ccc1O	['C16666']
COc1cc2[nH+]c[nH]c2cc1C	['C22451']
COc1cc2c(c(O)c1OC)C(C)[NH2+]CC2	['C16704']
COc1cc2c(c(O)c1OC)C[NH2+]CC2	['C12231']
COc1cc2c(c(OC)c1OC)C(C)[NH2+]CC2	['C16705']
COc1cc2c(cc1O)C(Cc1ccc(O)cc1)[NH+](C)CC2	['C05176', 'C05243']
