smiles	kegg_id
CC(=O)Oc1ccccc1C(=O)[O-]	['C01405']
CC(=O)[N-]C(CCC=O)C(=O)O	['C01250']
CC(=O)[N-]C(CCC=O)C(=O)[O-]	['C01250']
CC(=O)[N-]C(Cc1ccccc1)C(=O)O	['C03519', 'C05620']
CC(=O)[N-]C(Cc1ccccc1)C(=O)[O-]	['C03519', 'C05620']
CC(=O)[N-]CCC(=O)O	['C01073']
CC(=O)[N-]CCC(=O)[O-]	['C01073']
CC(=O)[N-]CCCC(=O)O	['C02946']
CC(=O)[N-]CCCC(=O)[O-]	['C02946']
CC(=O)[N-]CCCC=O	['C05936']
CC(=O)[N-]CCCCC(=O)C(=O)O	['C05548']
CC(=O)[N-]CCCCC(=O)C(=O)[O-]	['C05548']
CC(=O)[N-]CCCCC(=O)O	['C03087']
CC(=O)[N-]CCCCC(=O)[O-]	['C03087']
CC(=O)[N-]CCCCN	['C02714']
CC(=O)[N-]CCc1c[n-]c[nH+]1	['C05135']
CC(=O)[N-]CCc1c[n-]cn1	['C05135']
CC(=O)[N-]CCc1c[nH]cn1	['C05135']
CC(=O)[N-]N	['C07447']
CC(=O)[N-]NC(=O)c1ccncc1	['C07585']
CC(=O)[N-]NC(C)=O	['C16622']
CC(=O)[N-][N-]C(=O)c1cc[nH+]cc1	['C07585']
CC(=O)[N-][N-]C(=O)c1ccncc1	['C07585']
CC(=O)[N-][N-]C(C)=O	['C16622']
CC(=O)[N-]c1cc(N)c(C)c([N+](=O)[O-])c1	['C16420']
CC(=O)[N-]c1ccc(-c2ccccc2)cc1	['C20285']
CC(=O)[N-]c1ccc(O)cc1	['C06804']
CC(=O)[N-]c1ccc([O-])cc1	['C06804']
CC(=O)[N-]c1ccccc1C(=O)O	['C06332']
CC(=O)[N-]c1ccccc1C(=O)[O-]	['C06332']
CC(=O)[O-]	['C00033']
CC(=O)c1ccc([O-])cc1	['C10700']
CC(=O)n1cc([O-])c2ccccc21	['C02298']
CC(C(=O)C(=O)O)c1c[n-]c2ccccc12	['C05644']
CC(C(=O)C(=O)[O-])c1c[n-]c2ccccc12	['C05644']
CC(C(=O)C(=O)[O-])c1c[nH]c2ccccc12	['C05644']
CC(C(=O)O)=C(Cl)C(=O)CC(=O)[O-]	['C18310']
CC(C(=O)O)=C(Cl)C=C(Cl)C(=O)[O-]	['C18303']
CC(C(=O)O)C(=O)C(=O)[O-]	['C06030']
CC(C(=O)O)C(=O)C=C(Cl)C(=O)[O-]	['C18305']
CC(C(=O)O)C(=O)C=CC(=O)[O-]	['C18306']
CC(C(=O)O)C(=O)CCC(=O)[O-]	['C18307']
CC(C(=O)[O-])=C(C)C(=O)O	['C00922']
CC(C(=O)[O-])=C(C)C(=O)[O-]	['C00922']
CC(C(=O)[O-])=C(Cl)C(=O)CC(=O)O	['C18310']
CC(C(=O)[O-])=C(Cl)C(=O)CC(=O)[O-]	['C18310']
CC(C(=O)[O-])=C(Cl)C=C(Cl)C(=O)O	['C18303']
CC(C(=O)[O-])=C(Cl)C=C(Cl)C(=O)[O-]	['C18303']
CC(C(=O)[O-])=C1C=C(Cl)C(=O)O1	['C18304']
CC(C(=O)[O-])C(=O)C(=O)O	['C06030']
CC(C(=O)[O-])C(=O)C(=O)[O-]	['C06030']
CC(C(=O)[O-])C(=O)C=C(Cl)C(=O)O	['C18305']
CC(C(=O)[O-])C(=O)C=C(Cl)C(=O)[O-]	['C18305']
CC(C(=O)[O-])C(=O)C=CC(=O)O	['C18306']
CC(C(=O)[O-])C(=O)C=CC(=O)[O-]	['C18306']
CC(C(=O)[O-])C(=O)CCC(=O)O	['C18307']
CC(C(=O)[O-])C(=O)CCC(=O)[O-]	['C18307']
